code,title,credits,description,prerequisites
PSYC 7204,Training and Development,3,"This course will focus on theory, principles, techniques, and practices relevant to training and developing human resources. Research and professional literature will be examined.",Graduate standing required
PSYC 7301,Introduction to Multivariate Statistics,3,"Foundations for multivariate analysis including properties of linear composite variables, multiple regression, multiple and partial correlation, MANOVA, factor analysis, multiple discriminant analysis, canonical correlation, etc.",Graduate standing required
PSYC 7302,Structural Equation Modeling,3,"Methods of causal modeling to study causal relations including issues of causality, establishing causality, fundamentals of linear structural equation modeling with latent variables, fitting models.",Graduate standing required
PSYC 7303,Psychometric Theory,3,"Preparation of students in statistical theory and techniques relevant to becoming professionally involved in construction, analysis, and evaluation of psychology and personnel tests.",Graduate standing required
PSYC 7700,Professional Problems,2,"Discussion of issues faced by professional psychologists in the areas of teaching, research, and professional practice. Ethical issues in all of these areas are emphasized.",Graduate standing required
PSYC 7701,Teaching Practicum,2,"Supervised college teaching including techniques, course and curriculum design, evaluation. Students will prepare and present lectures with direct observations and video taping for discussion.",Graduate standing required
PSYC 7790,Cognitive Modeling,4,"A hands-on course covering a range of cognitive modeling methodologies. It explores the analysis, development, construction, and evaluation of models of cognitive processing. Crosslisted with CS and ISYE 7790 .",Graduate standing required; CS and ISYE 7790
PSYC 8000,Seminar in Experimental Psychology,3,Critical examination of current problems in a selected area of general experimental psychology. Areas to be discussed may vary each time course is offered.,Graduate standing required
PSYC 8010,Seminar in Cognitive Psychology,3,Critical examination of current problems in a selected area of cognitive psychology.  Areas to be discussed may vary each time course is offered.,Graduate standing required
PSYC 8020,Seminar in Cognitive Aging,3,Critical examination of current problems in a selected area of cognitive aging. Areas to be discussed may vary each time course is offered.,Graduate standing required
PSYC 8030,Seminar in Comparative Psychology,3,Critical examination of current problems in a selected area of comparative psychology.  Areas to be discussed may vary each time course is offered.,Graduate standing required
PSYC 8040,Seminar in Engineering Psychology,3,Critical examination of current problems in a selected area of engineering psychology.  Areas to be discussed may vary each time course is offered.,Graduate standing required
PSYC 8050,Seminar in Industrial/Organizational Psychology,3,Critical examination of current problems in a selected area of industrial/organizational psychology.  Areas to be discussed may vary each time course is offered.,Graduate standing required
PSYC 8060,Seminar in Quantitative Psychology,3,"Presentation and discussion of quantitative approaches to psychology.  Topics will vary, but might include neural networks, measurement theory, behavioral ecology, modeling, system dynamics, etc.",Graduate standing required
PSYC 8070,Seminar in Cognitive Neuroscience,3,Critical examination of current problems in selected areas of cognitive neuroscience.  Areas to be discussed vary each time.,Graduate standing required
PSYC 8080,Seminar in Cognition and Brain Science,3,Critical examination of current problems in selected areas of cognition and brain sciences.  Areas to be discussed may vary each time.,Graduate standing required
PSYC 8795,Colloquium in Cognitive Science,1,"Reading of research papers by leading cognitive scientists, attendance at their colloquia, and meeting with them to discuss research. Crosslisted with CS and ISYE 8795 .",Graduate standing required; CS and ISYE 8795
PSYC 8802,Topics in CogNeuro,2,Covers current issues and recent advances in cognitive neuroscience.,Graduate standing required
PSYC 8803,Special Topics in Applied Statistics,3,Covers current issues and recent advances in the application of statistical methods to research in psychology.  Instructors select the specific focus for a given term.,Graduate standing required
PSYC 8804,Special Topics in Cognitive Aging,3,Covers current issues and recent advances in cognitive aging.,Graduate standing required
PSYC 8805,Special Topics in Cognitive Neuroscience,3,Covers current issues and recent advances in cognitive neuroscience.,Graduate standing required
PSYC 8806,Special Topics in Cognitive Psychology,3,Covers current issues and recent advances in cognitive psychology.,Graduate standing required
PSYC 8807,Special Topics in Engineering Psychology,3,Covers current issues and recent advances in Engineering Psychology.,Graduate standing required
PSYC 8811,Special Topics,1,Special topics that cover current issues and recent advances in Psychology.,Graduate standing required
PSYC 8812,Special Topics,2,Special topics that cover current issues and recent advances in Psychology.,Graduate standing required
PSYC 8890,Special Topics in Cognitive Science,3,,
PUBJ 8801,Special Topics-Joint Program with Georgia State University,1,,
PUBJ 8802,Special Topics-Joint Program with Georgia State University,2,,
PUBJ 8803,Special Topics-Joint Program with Georgia State University,3,,
PUBJ 8811,Special Topics-Joint Program with Georgia State University,1,,
